Identifiant produit,Dénomination du produit,Description,Type d’unité,Devise,Prix HT,Taux de TVA,TVA,Prix TTC,Référence produit
b3b914a1-16b6-4f35-b2d0-26b30627189b,Honoraires - Création SCI,,(pas d’unité),Euros,400.00 $,20% (FR),80.00 $,480.00 $,
42b8a967-eb6b-4e1b-911f-0dcf416fcfde,Frais - Création SCI,,(pas d’unité),Euros,281.00 $,20% (FR),56.20 $,337.20 $,
6a7e6b42-0250-4ba2-87e6-3dc8b9ecaea2,Honoraires - Création EURL / SARL,,(pas d’unité),Euros,400.00 $,20% (FR),80.00 $,480.00 $,
9419eaba-78fd-4dda-8af0-5642415ebec6,Frais - Création EURL / SARL,,(pas d’unité),Euros,237.00 $,20% (FR),47.40 $,284.40 $,
0f523240-03ff-4a70-aa7a-422b23ee4d34,Office management,{{moisSuivant}},jour,Euros,400.00 $,20% (FR),80.00 $,480.00 $,
b67d14c0-2ada-47c6-9cec-1163e247382c,Accompagnement direction financière,"[{""type"":""paragraph"",""children"":[{""text"":""""}]}]",jour,Euros,"1,000.00 $",20% (FR),200.00 $,"1,200.00 $",
19a4b177-b204-497e-858e-733005db22f8,Honoraires - Création SASU / SAS,,(pas d’unité),Euros,400.00 $,20% (FR),80.00 $,480.00 $,
7deab40c-0cdb-4b95-9a89-e418347dd3a7,Frais - Création SASU / SAS,,(pas d’unité),Euros,259.00 $,20% (FR),51.80 $,310.80 $,
32a766b8-686a-4906-a74a-e6431cefed07,Honoraires - Création entreprise individuelle,,(pas d’unité),Euros,150.00 $,20% (FR),30.00 $,180.00 $,
8b0671f8-770d-4c51-96ad-b5e09c5cfac8,Honoraires - Option Chambre des Métiers et de l'Artisanat (CMA),,(pas d’unité),Euros,100.00 $,20% (FR),20.00 $,120.00 $,
afed5bc0-7640-4b9c-8b7e-21ea1f7309c2,Honoraires - Transfert du siège social,,(pas d’unité),Euros,350.00 $,20% (FR),70.00 $,420.00 $,
b46d88a1-95f6-493c-8692-800f70994571,Frais - Transfert de siège social dans le ressort du TC,,(pas d’unité),Euros,375.00 $,20% (FR),75.00 $,450.00 $,
e0658531-b384-48b0-beac-2cef504b1555,Frais - Transfert de siège social hors ressort du TC,,(pas d’unité),Euros,450.00 $,20% (FR),90.00 $,540.00 $,
d8130dce-06c1-4851-903b-689a2f554482,Honoraires - Prévisionnel bilan et compte de résultat sur 3 ans,,(pas d’unité),Euros,1.00 $,20% (FR),0.20 $,1.20 $,
c5878ebf-c976-4278-9da0-0bbd35657831,Honoraires - Présentation des comptes,{{mois}},(pas d’unité),Euros,1.00 $,20% (FR),0.20 $,1.20 $,
7d7e8773-5cfb-467d-822e-7b1832336b5e,Honoraires - Secrétariat juridique annuel,{{mois}},(pas d’unité),Euros,1.00 $,20% (FR),0.20 $,1.20 $,
6ae22377-34f0-4d7f-89f7-f534f901c901,Honoraires - Convention de mise à disposition,,(pas d’unité),Euros,150.00 $,20% (FR),30.00 $,180.00 $,
f38339c5-9bc5-4ac8-8cb3-412a2a8b5551,Bulletins de paie,"[{""type"":""paragraph"",""children"":[{""text"":""{{moisPrécédent}}""}]}]",(pas d’unité),Euros,20.00 $,20% (FR),4.00 $,24.00 $,
0a126947-0712-4cdf-9c3a-db8c3b104f9c,Assistance fiscale,,(pas d’unité),Euros,1.00 $,20% (FR),0.20 $,1.20 $,
